model,lang,frame_id,n_words,peak_N,peak_P,P_N30,drop_mean,drop_ci_lo,drop_ci_hi
xlm-roberta-base,es,F2,49,20,0.06237541822887653,0.050717346426052023,0.5387294511995686,0.44202146671987547,0.6300422685106567
xlm-roberta-base,fr,F0,40,1,0.4423205057857558,0.07800568404782098,0.8228000352228815,0.7310061389990856,0.9028813415674162
xlm-roberta-base,fr,F1,40,10,0.06306907357939054,0.031127257788648423,0.5730750236231449,0.4465622555797397,0.6858916029362047
xlm-roberta-base,fr,F2,40,1,0.08823190659259125,0.0554767265515693,0.543479670199473,0.43198964012919344,0.6514470255822185
xlm-roberta-large,de,F0,46,30,0.26514034424959076,0.26514034424959076,0.3538156378607162,0.2569317906530126,0.45468088961650704
xlm-roberta-large,de,F1,46,1,0.0370911157565981,0.03417234495993952,0.5607414297676963,0.45521402100240405,0.6709120504989893
xlm-roberta-large,de,F2,46,1,0.008752571662912685,0.000857728079101049,0.8694285115367724,0.7934637045344884,0.929367322638025
xlm-roberta-large,es,F0,49,30,0.20701888918268438,0.20701888918268438,0.30762285258326644,0.21853993214720005,0.3890410434721944
xlm-roberta-large,es,F1,49,30,0.04471608617818767,0.04471608617818767,0.3722683185108506,0.2726278915726134,0.47919753782445274
xlm-roberta-large,es,F2,49,30,0.002368915817812817,0.002368915817812817,0.749464182806916,0.6560821098992339,0.8303744176588725
xlm-roberta-large,fr,F0,40,30,0.20832692663570923,0.20832692663570923,0.44253108744086395,0.33549692162949424,0.554556553551299
xlm-roberta-large,fr,F1,40,30,0.011958827252783522,0.011958827252783522,0.11524655942739973,0.062128953675265323,0.1810716016033684
xlm-roberta-large,fr,F2,40,30,0.0036216347982929165,0.0036216347982929165,0.6387575010611727,0.5082387570540053,0.7564484051538992
