model,model_short,n_words,mean_diff,ci_lo,ci_hi,rank_full,rank_trunc
answerdotai/ModernBERT-large,ModernBERT-large,250,0.03446630758290849,0.015722060551216964,0.05555124947166076,34.576,7.356
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,256,0.059341313968406695,0.04633308765053146,0.07207793741951071,74.7890625,7.33984375
Qwen/Qwen2.5-7B,Qwen2.5-7B,256,0.015297395752270404,-0.004977726685443429,0.03493910834207696,9.7734375,3.98828125
allenai/OLMo-2-1124-7B,OLMo-2-7B,256,-0.014934457722652894,-0.021693888564153063,-0.008592053916179943,42.94921875,32.7421875
