model,frame_id,peak_N_mean_curve,peak_P_mean_curve,P_N30_mean_curve,n_words,drop_mean,drop_ci_lo,drop_ci_hi
allenai/OLMo-2-0425-1B,F3,20,0.02353718993382614,0.021966784564135367,256,0.3010441439557112,0.26051171039290855,0.3427524993903889
allenai/OLMo-2-0425-1B,F4,30,0.009590408633275871,0.009590408633275871,256,0.2253900286899767,0.18660829044005126,0.2659752942589016
allenai/OLMo-2-1124-7B,F0,10,0.05781709780851685,0.041815715768777295,256,0.4262973541213655,0.38514139777756495,0.4683233191626175
allenai/OLMo-2-1124-7B,F1,10,0.022491294262533046,0.01549500144530258,256,0.41200592060885444,0.3716887470408975,0.4538799630623237
allenai/OLMo-2-1124-7B,F2,10,0.00830500054227512,0.005265674003756882,256,0.4739496186764325,0.43293192718370777,0.5154487571134196
allenai/OLMo-2-1124-7B,F3,10,0.0407372688822889,0.0216744986795554,256,0.537367391493978,0.49538392181635066,0.5790923202546464
allenai/OLMo-2-1124-7B,F4,10,0.010846828734957459,0.005116098903082289,256,0.5646919642117361,0.5285150857166604,0.6013749418412407
answerdotai/ModernBERT-base,F0,3,0.6675640585860237,0.37175494411974797,250,0.5156609398092655,0.48113434503222047,0.5490742908598862
answerdotai/ModernBERT-base,F1,5,0.2920379592477984,0.1074985021789384,250,0.7278835799586343,0.6957181732706027,0.7611894710418814
answerdotai/ModernBERT-base,F2,3,0.13150827240239596,0.043968199315574566,250,0.6959174320384874,0.6651977855714432,0.7283548168477098
answerdotai/ModernBERT-base,F3,3,0.32873351775244375,0.09106568373553296,250,0.786637414716916,0.758539437443112,0.8120394298236479
answerdotai/ModernBERT-base,F4,3,0.11921751668781508,0.03442261628251163,250,0.8322559821868465,0.8050507463086145,0.8548421199075641
answerdotai/ModernBERT-large,F0,1,0.4003210212521954,0.2596636073608897,250,0.4227749599758146,0.3881781202314786,0.4616143296959388
answerdotai/ModernBERT-large,F1,10,0.20979306101979456,0.14107117469162472,250,0.4552844411112983,0.415160556858005,0.4953262773060978
answerdotai/ModernBERT-large,F2,10,0.062030749891564485,0.0499967174423291,250,0.38234183682130146,0.34781341624647905,0.42226039575698443
answerdotai/ModernBERT-large,F3,10,0.145590271741331,0.0856016400461445,250,0.5506152183097025,0.513893327185171,0.5845784338986053
answerdotai/ModernBERT-large,F4,1,0.16018044179939495,0.08445227679878531,250,0.569916272791555,0.5339440113743722,0.6044300234637022
microsoft/Phi-3.5-mini-instruct,F0,1,0.0014494480365551232,0.0004949299836031,182,0.5229724631928687,0.4850372890173768,0.5583062381950445
microsoft/Phi-3.5-mini-instruct,F1,1,0.0003473955205702243,0.00018932276017335925,182,0.45875688992890656,0.4208396049581541,0.4967519129956742
microsoft/Phi-3.5-mini-instruct,F2,1,9.898891020135089e-05,2.0607648019739537e-05,182,0.6076210425339766,0.5743894583896705,0.6421090940179239
microsoft/Phi-3.5-mini-instruct,F3,10,0.00019523011449774872,0.0001374371448823732,182,0.3333226884874043,0.2954880103472234,0.3728981713287363
microsoft/Phi-3.5-mini-instruct,F4,1,0.00020295090036508983,5.9449200266355575e-05,182,0.5641167365490275,0.5280664551775481,0.6024418241738961
