model,family,frame_id,target_word,N,target_prob
Qwen/Qwen2.5-1.5B,CLM,F0,conscience,0,0.00018419369007460773
Qwen/Qwen2.5-1.5B,CLM,F0,conscience,1,0.3001912534236908
Qwen/Qwen2.5-1.5B,CLM,F0,conscience,3,0.6277020573616028
Qwen/Qwen2.5-1.5B,CLM,F0,conscience,5,0.6476156115531921
Qwen/Qwen2.5-1.5B,CLM,F0,conscience,10,0.6411922574043274
Qwen/Qwen2.5-1.5B,CLM,F0,conscience,20,0.5855769515037537
Qwen/Qwen2.5-1.5B,CLM,F0,conscience,30,0.5951107740402222
Qwen/Qwen2.5-1.5B,CLM,F0,sun,0,8.700694161234424e-05
Qwen/Qwen2.5-1.5B,CLM,F0,sun,1,0.0011798852356150746
Qwen/Qwen2.5-1.5B,CLM,F0,sun,3,0.017279252409934998
Qwen/Qwen2.5-1.5B,CLM,F0,sun,5,0.02298332005739212
Qwen/Qwen2.5-1.5B,CLM,F0,sun,10,0.016511868685483932
Qwen/Qwen2.5-1.5B,CLM,F0,sun,20,0.0022891475819051266
Qwen/Qwen2.5-1.5B,CLM,F0,sun,30,0.00339503213763237
Qwen/Qwen2.5-1.5B,CLM,F0,meat,0,2.824701732606627e-05
Qwen/Qwen2.5-1.5B,CLM,F0,meat,1,0.0024977298453450203
Qwen/Qwen2.5-1.5B,CLM,F0,meat,3,0.0943889394402504
Qwen/Qwen2.5-1.5B,CLM,F0,meat,5,0.13645325601100922
Qwen/Qwen2.5-1.5B,CLM,F0,meat,10,0.09514832496643066
Qwen/Qwen2.5-1.5B,CLM,F0,meat,20,0.039544522762298584
Qwen/Qwen2.5-1.5B,CLM,F0,meat,30,0.05396827682852745
Qwen/Qwen2.5-1.5B,CLM,F0,doctrine,0,2.4927907361416146e-05
Qwen/Qwen2.5-1.5B,CLM,F0,doctrine,1,0.003627191064879298
Qwen/Qwen2.5-1.5B,CLM,F0,doctrine,3,0.004250644706189632
Qwen/Qwen2.5-1.5B,CLM,F0,doctrine,5,0.00023920866078697145
Qwen/Qwen2.5-1.5B,CLM,F0,doctrine,10,0.00010651552292983979
Qwen/Qwen2.5-1.5B,CLM,F0,doctrine,20,2.14698684430914e-05
Qwen/Qwen2.5-1.5B,CLM,F0,doctrine,30,1.9328312191646546e-05
Qwen/Qwen2.5-1.5B,CLM,F0,office,0,1.177510876004817e-05
Qwen/Qwen2.5-1.5B,CLM,F0,office,1,0.00019796076230704784
Qwen/Qwen2.5-1.5B,CLM,F0,office,3,0.014767691493034363
Qwen/Qwen2.5-1.5B,CLM,F0,office,5,0.007227934431284666
Qwen/Qwen2.5-1.5B,CLM,F0,office,10,0.0073821269907057285
Qwen/Qwen2.5-1.5B,CLM,F0,office,20,0.0002453627239447087
Qwen/Qwen2.5-1.5B,CLM,F0,office,30,0.00023708317894488573
Qwen/Qwen2.5-1.5B,CLM,F0,money,0,0.00026800023624673486
Qwen/Qwen2.5-1.5B,CLM,F0,money,1,0.03605346381664276
Qwen/Qwen2.5-1.5B,CLM,F0,money,3,0.17425495386123657
Qwen/Qwen2.5-1.5B,CLM,F0,money,5,0.1672745943069458
Qwen/Qwen2.5-1.5B,CLM,F0,money,10,0.16117843985557556
Qwen/Qwen2.5-1.5B,CLM,F0,money,20,0.04359482601284981
Qwen/Qwen2.5-1.5B,CLM,F0,money,30,0.0022854574490338564
Qwen/Qwen2.5-1.5B,CLM,F0,legacy,0,0.0001625503646209836
Qwen/Qwen2.5-1.5B,CLM,F0,legacy,1,0.007127891294658184
Qwen/Qwen2.5-1.5B,CLM,F0,legacy,3,0.010343950241804123
Qwen/Qwen2.5-1.5B,CLM,F0,legacy,5,0.005619334988296032
Qwen/Qwen2.5-1.5B,CLM,F0,legacy,10,0.0002811004233080894
Qwen/Qwen2.5-1.5B,CLM,F0,legacy,20,4.89188423671294e-05
Qwen/Qwen2.5-1.5B,CLM,F0,legacy,30,4.042278305860236e-05
Qwen/Qwen2.5-1.5B,CLM,F0,arm,0,1.511953814770095e-05
Qwen/Qwen2.5-1.5B,CLM,F0,arm,1,0.00011621670273598284
Qwen/Qwen2.5-1.5B,CLM,F0,arm,3,0.003343370510265231
Qwen/Qwen2.5-1.5B,CLM,F0,arm,5,0.006723660975694656
Qwen/Qwen2.5-1.5B,CLM,F0,arm,10,0.004129570443183184
Qwen/Qwen2.5-1.5B,CLM,F0,arm,20,6.973848940106109e-05
Qwen/Qwen2.5-1.5B,CLM,F0,arm,30,6.615522579522803e-05
Qwen/Qwen2.5-1.5B,CLM,F0,change,0,0.000935412768740207
Qwen/Qwen2.5-1.5B,CLM,F0,change,1,0.00876036286354065
Qwen/Qwen2.5-1.5B,CLM,F0,change,3,0.013393484055995941
Qwen/Qwen2.5-1.5B,CLM,F0,change,5,0.010909253731369972
Qwen/Qwen2.5-1.5B,CLM,F0,change,10,0.019183488562703133
Qwen/Qwen2.5-1.5B,CLM,F0,change,20,0.10813874006271362
Qwen/Qwen2.5-1.5B,CLM,F0,change,30,0.04541763663291931
Qwen/Qwen2.5-1.5B,CLM,F0,tyranny,0,9.8591779533308e-05
Qwen/Qwen2.5-1.5B,CLM,F0,tyranny,1,0.07900261878967285
Qwen/Qwen2.5-1.5B,CLM,F0,tyranny,3,0.33940526843070984
Qwen/Qwen2.5-1.5B,CLM,F0,tyranny,5,0.42056038975715637
Qwen/Qwen2.5-1.5B,CLM,F0,tyranny,10,0.3827935457229614
Qwen/Qwen2.5-1.5B,CLM,F0,tyranny,20,0.47171542048454285
Qwen/Qwen2.5-1.5B,CLM,F0,tyranny,30,0.44320058822631836
Qwen/Qwen2.5-1.5B,CLM,F0,ladder,0,2.0665960619226098e-05
Qwen/Qwen2.5-1.5B,CLM,F0,ladder,1,0.006972149945795536
Qwen/Qwen2.5-1.5B,CLM,F0,ladder,3,0.38819190859794617
Qwen/Qwen2.5-1.5B,CLM,F0,ladder,5,0.32485392689704895
Qwen/Qwen2.5-1.5B,CLM,F0,ladder,10,0.2022305428981781
Qwen/Qwen2.5-1.5B,CLM,F0,ladder,20,0.13746412098407745
Qwen/Qwen2.5-1.5B,CLM,F0,ladder,30,0.04063980653882027
Qwen/Qwen2.5-1.5B,CLM,F0,fox,0,2.6535619326750748e-05
Qwen/Qwen2.5-1.5B,CLM,F0,fox,1,0.0006137691671028733
Qwen/Qwen2.5-1.5B,CLM,F0,fox,3,0.0073698461055755615
Qwen/Qwen2.5-1.5B,CLM,F0,fox,5,0.048911143094301224
Qwen/Qwen2.5-1.5B,CLM,F0,fox,10,0.036659080535173416
Qwen/Qwen2.5-1.5B,CLM,F0,fox,20,0.012930250726640224
Qwen/Qwen2.5-1.5B,CLM,F0,fox,30,0.0009917599381878972
Qwen/Qwen2.5-1.5B,CLM,F0,story,0,0.00013475898595061153
Qwen/Qwen2.5-1.5B,CLM,F0,story,1,0.0013432694831863046
Qwen/Qwen2.5-1.5B,CLM,F0,story,3,0.0013786241179332137
Qwen/Qwen2.5-1.5B,CLM,F0,story,5,0.000562216155230999
Qwen/Qwen2.5-1.5B,CLM,F0,story,10,0.0021520149894058704
Qwen/Qwen2.5-1.5B,CLM,F0,story,20,0.0002558522974140942
Qwen/Qwen2.5-1.5B,CLM,F0,story,30,0.00022700379486195743
