model,family,frame_id,target_word,N,target_prob
Qwen/Qwen2.5-7B,CLM,F0,conscience,10,0.12695729732513428
Qwen/Qwen2.5-7B,CLM,F0,conscience,20,0.2942245602607727
Qwen/Qwen2.5-7B,CLM,F0,conscience,30,0.20450754463672638
Qwen/Qwen2.5-7B,CLM,F0,sun,0,3.75985364371445e-05
Qwen/Qwen2.5-7B,CLM,F0,sun,1,0.0071875243447721004
Qwen/Qwen2.5-7B,CLM,F0,sun,3,0.009353592991828918
Qwen/Qwen2.5-7B,CLM,F0,sun,5,0.0271771140396595
Qwen/Qwen2.5-7B,CLM,F0,sun,10,0.021248076111078262
Qwen/Qwen2.5-7B,CLM,F0,sun,20,0.029029609635472298
Qwen/Qwen2.5-7B,CLM,F0,sun,30,0.04051246494054794
Qwen/Qwen2.5-7B,CLM,F0,meat,0,9.213918019668199e-06
Qwen/Qwen2.5-7B,CLM,F0,meat,1,0.009918601252138615
Qwen/Qwen2.5-7B,CLM,F0,meat,3,0.029426129534840584
Qwen/Qwen2.5-7B,CLM,F0,meat,5,0.08184655755758286
Qwen/Qwen2.5-7B,CLM,F0,meat,10,0.07557730376720428
Qwen/Qwen2.5-7B,CLM,F0,meat,20,0.041077371686697006
Qwen/Qwen2.5-7B,CLM,F0,meat,30,0.05425221100449562
Qwen/Qwen2.5-7B,CLM,F0,doctrine,0,1.8905731849372387e-05
Qwen/Qwen2.5-7B,CLM,F0,doctrine,1,0.0042259874753654
Qwen/Qwen2.5-7B,CLM,F0,doctrine,3,0.2108941227197647
Qwen/Qwen2.5-7B,CLM,F0,doctrine,5,0.13929571211338043
Qwen/Qwen2.5-7B,CLM,F0,doctrine,10,0.2603340148925781
Qwen/Qwen2.5-7B,CLM,F0,doctrine,20,0.19178523123264313
Qwen/Qwen2.5-7B,CLM,F0,doctrine,30,0.1647329330444336
Qwen/Qwen2.5-7B,CLM,F0,office,0,6.955031039979076e-06
Qwen/Qwen2.5-7B,CLM,F0,office,1,0.00012069074000464752
Qwen/Qwen2.5-7B,CLM,F0,office,3,0.01045979280024767
Qwen/Qwen2.5-7B,CLM,F0,office,5,0.007208405062556267
Qwen/Qwen2.5-7B,CLM,F0,office,10,0.10949641466140747
Qwen/Qwen2.5-7B,CLM,F0,office,20,0.08013613522052765
Qwen/Qwen2.5-7B,CLM,F0,office,30,0.03344766050577164
Qwen/Qwen2.5-7B,CLM,F0,money,0,0.0001194879223476164
Qwen/Qwen2.5-7B,CLM,F0,money,1,0.010382723063230515
Qwen/Qwen2.5-7B,CLM,F0,money,3,0.41343092918395996
Qwen/Qwen2.5-7B,CLM,F0,money,5,0.4694841802120209
Qwen/Qwen2.5-7B,CLM,F0,money,10,0.40154385566711426
Qwen/Qwen2.5-7B,CLM,F0,money,20,0.07281918078660965
Qwen/Qwen2.5-7B,CLM,F0,money,30,0.050029948353767395
Qwen/Qwen2.5-7B,CLM,F0,legacy,0,0.0003248018037993461
Qwen/Qwen2.5-7B,CLM,F0,legacy,1,0.02677435800433159
Qwen/Qwen2.5-7B,CLM,F0,legacy,3,0.30992579460144043
Qwen/Qwen2.5-7B,CLM,F0,legacy,5,0.4965253472328186
Qwen/Qwen2.5-7B,CLM,F0,legacy,10,0.3976109027862549
Qwen/Qwen2.5-7B,CLM,F0,legacy,20,0.07339303940534592
Qwen/Qwen2.5-7B,CLM,F0,legacy,30,0.014392433688044548
Qwen/Qwen2.5-7B,CLM,F0,arm,0,1.1466907380963676e-05
Qwen/Qwen2.5-7B,CLM,F0,arm,1,0.0008149262866936624
Qwen/Qwen2.5-7B,CLM,F0,arm,3,0.036137305200099945
Qwen/Qwen2.5-7B,CLM,F0,arm,5,0.039452116936445236
