word,category,concreteness_group,frequency_group,semantic_class,word_length,zipf_frequency,notes
right,abstract_high,abstract,very_high,political_concept,5,5.96,
peace,abstract_high,abstract,high,political_concept,5,5.02,
war,abstract_high,abstract,high,political_concept,3,5.46,
government,abstract_high,abstract,very_high,political_concept,10,5.57,
truth,abstract_high,abstract,high,moral_concept,5,5.05,
good,abstract_high,abstract,very_high,moral_concept,4,6.12,
evil,abstract_high,abstract,mid,moral_concept,4,4.74,
honor,abstract_high,abstract,mid,moral_concept,5,4.69,
justice,abstract_high,abstract,high,moral_concept,7,4.97,
change,abstract_high,abstract,very_high,cognition,6,5.54,
future,abstract_high,abstract,high,cognition,6,5.33,
reality,abstract_high,abstract,high,cognition,7,4.89,
nature,abstract_high,abstract,high,cognition,6,4.98,
system,abstract_high,abstract,very_high,cognition,6,5.56,
problem,abstract_high,abstract,high,cognition,7,5.4,
answer,abstract_high,abstract,high,cognition,6,5.17,
story,abstract_high,abstract,high,cognition,5,5.45,
name,abstract_high,abstract,very_high,cognition,4,5.61,
number,abstract_high,abstract,very_high,cognition,6,5.62,
word,abstract_high,abstract,high,cognition,4,5.26,
voice,abstract_high,abstract,high,cognition,5,5.07,
sound,abstract_high,abstract,high,cognition,5,5.15,
light,abstract_high,abstract,high,cognition,5,5.33,
dark,abstract_high,abstract,high,cognition,4,5.04,
color,abstract_high,abstract,high,cognition,5,4.91,
shape,abstract_high,abstract,mid,cognition,5,4.72,
size,abstract_high,abstract,high,cognition,4,5.13,
space,abstract_high,abstract,high,cognition,5,5.23,
place,abstract_high,abstract,very_high,social_concept,5,5.71,
sorrow,abstract_low,abstract,low,emotion,6,3.73,
pity,abstract_low,abstract,low,emotion,4,3.98,
regret,abstract_low,abstract,mid,emotion,6,4.37,
delight,abstract_low,abstract,low,emotion,7,3.97,
wisdom,abstract_low,abstract,mid,cognition,6,4.3,
logic,abstract_low,abstract,mid,cognition,5,4.36,
intent,abstract_low,abstract,mid,cognition,6,4.28,
doubt,abstract_low,abstract,high,cognition,5,4.9,
tradition,abstract_low,abstract,mid,social_concept,9,4.5,
